car_id,problem_category
206769,POWER TRAIN
145406,ELECTRICAL SYSTEM
126182,LATCHES/LOCKS/LINKAGES
278194,VISIBILITY/WIPER
250688,ENGINE AND ENGINE COOLING
92984,STEERING
223635,POWER TRAIN
231251,ELECTRICAL SYSTEM
97364,SERVICE BRAKES
154212,ENGINE
279327,STRUCTURE
222112,LANE DEPARTURE
166310,ELECTRICAL SYSTEM
218876,POWER TRAIN
130354,EQUIPMENT
265237,FUEL SYSTEM
8434,VEHICLE SPEED CONTROL
60909,FUEL/PROPULSION SYSTEM
287447,ENGINE
146398,STEERING
104081,ENGINE
170069,SERVICE BRAKES
145829,VISIBILITY/WIPER
135547,POWER TRAIN
298314,ENGINE
271852,FORWARD COLLISION AVOIDANCE
146441,SERVICE BRAKES
63995,FUEL SYSTEM
124437,VISIBILITY
230388,ENGINE
132692,VISIBILITY
17264,AIR BAGS
97828,ENGINE AND ENGINE COOLING
146432,ENGINE
192761,STRUCTURE
156442,VISIBILITY
294238,ENGINE
173795,SERVICE BRAKES
49236,AIR BAGS
32454,FORWARD COLLISION AVOIDANCE
225653,STEERING
97638,AIR BAGS
7108,ENGINE AND ENGINE COOLING
1972,ELECTRICAL SYSTEM
284104,ELECTRICAL SYSTEM
172622,SEAT BELTS
279505,VEHICLE SPEED CONTROL
79664,FUEL SYSTEM
252733,ENGINE AND ENGINE COOLING
190684,EXTERIOR LIGHTING
177135,ENGINE
51710,POWER TRAIN
216837,EXTERIOR LIGHTING
197972,ELECTRICAL SYSTEM
24196,ENGINE
247420,TIRES
123270,POWER TRAIN
166827,STEERING
2669,SERVICE BRAKES
91262,ENGINE AND ENGINE COOLING
194291,SUSPENSION
58711,ELECTRICAL SYSTEM
120070,STEERING
157346,ENGINE
230006,ENGINE AND ENGINE COOLING
65443,VISIBILITY
25921,POWER TRAIN
169716,SERVICE BRAKES
109135,ENGINE
252036,ENGINE AND ENGINE COOLING
145366,POWER TRAIN
234357,POWER TRAIN
277486,STEERING
118024,SERVICE BRAKES
293240,ELECTRICAL SYSTEM
182653,POWER TRAIN
277468,ENGINE
155135,ENGINE
223092,POWER TRAIN
153671,ENGINE
90029,SERVICE BRAKES
213092,WHEELS
107325,STRUCTURE
277324,SUSPENSION
99681,ELECTRICAL SYSTEM
33519,AIR BAGS
65290,VEHICLE SPEED CONTROL
167892,ENGINE
287937,POWER TRAIN
76723,ENGINE
130302,EXTERIOR LIGHTING
76061,AIR BAGS
16062,ELECTRICAL SYSTEM
33180,POWER TRAIN
153369,ENGINE
160983,STRUCTURE
33195,ENGINE AND ENGINE COOLING
221041,STRUCTURE
118282,SERVICE BRAKES
170973,POWER TRAIN
163622,SERVICE BRAKES
126037,SUSPENSION
279788,TIRES
172251,ENGINE AND ENGINE COOLING
22043,FORWARD COLLISION AVOIDANCE
203186,STRUCTURE
87179,LATCHES/LOCKS/LINKAGES
156133,VEHICLE SPEED CONTROL
245226,FORWARD COLLISION AVOIDANCE
132858,LATCHES/LOCKS/LINKAGES
103987,ENGINE AND ENGINE COOLING
225975,POWER TRAIN
266111,AIR BAGS
120033,FORWARD COLLISION AVOIDANCE
76833,STRUCTURE
104480,SEAT BELTS
254488,POWER TRAIN
91053,POWER TRAIN
162445,BACK OVER PREVENTION
84749,ELECTRICAL SYSTEM
183986,BACK OVER PREVENTION
160250,ELECTRICAL SYSTEM
19411,ENGINE
209175,EQUIPMENT
71216,ELECTRICAL SYSTEM
145608,ENGINE AND ENGINE COOLING
168023,EXTERIOR LIGHTING
859,ENGINE
280477,STEERING
149930,FORWARD COLLISION AVOIDANCE
1497,STEERING
68814,ENGINE AND ENGINE COOLING
270173,ELECTRICAL SYSTEM
92796,EXTERIOR LIGHTING
216123,LATCHES/LOCKS/LINKAGES
15115,POWER TRAIN
157999,ELECTRICAL SYSTEM
214995,POWER TRAIN
66295,VEHICLE SPEED CONTROL
82477,ENGINE AND ENGINE COOLING
73229,POWER TRAIN
77626,POWER TRAIN
96523,TIRES
30862,ENGINE
142880,ELECTRICAL SYSTEM
149500,SUSPENSION
218072,ENGINE
156875,ENGINE
224517,ENGINE
34141,LATCHES/LOCKS/LINKAGES
156921,ENGINE
188672,ENGINE
55184,STRUCTURE
69147,STEERING
253276,ELECTRICAL SYSTEM
273573,ENGINE AND ENGINE COOLING
276200,ENGINE
169894,ELECTRICAL SYSTEM
103245,POWER TRAIN
167002,STEERING
226954,ENGINE
163793,SERVICE BRAKES
8883,VISIBILITY
257926,EXTERIOR LIGHTING
152256,ELECTRICAL SYSTEM
153309,POWER TRAIN
162320,EXTERIOR LIGHTING
4779,ELECTRICAL SYSTEM
4816,AIR BAGS
220797,ENGINE
91322,EXTERIOR LIGHTING
26583,ELECTRICAL SYSTEM
63960,LATCHES/LOCKS/LINKAGES
103949,AIR BAGS
299425,ENGINE
56631,EXTERIOR LIGHTING
97387,WHEELS
85767,ENGINE
145891,ENGINE
280189,EXTERIOR LIGHTING
156089,POWER TRAIN
5750,ENGINE
25169,POWER TRAIN
52998,POWER TRAIN
64725,POWER TRAIN
125535,ELECTRICAL SYSTEM
50915,ELECTRICAL SYSTEM
91098,ENGINE
45693,VISIBILITY/WIPER
241896,ENGINE
174787,STRUCTURE
280432,ENGINE AND ENGINE COOLING
245230,VEHICLE SPEED CONTROL
110076,BACK OVER PREVENTION
46135,VEHICLE SPEED CONTROL
108477,POWER TRAIN
16513,ENGINE AND ENGINE COOLING
48251,STRUCTURE
257413,ENGINE AND ENGINE COOLING
135776,EQUIPMENT
