year,mileage,fuel_type,transmission,vin,registration_date,country,number_plate,previous_owners,car_id,image_path,damage_status,image_id,audio_path,generic_problem,detailed_problem,audio_id,crash,fire,numberOfInjuries,summary,component_class,complaint_id
2018,80404,Diesel,Manual,5LT33XNAXEPYPK2GZ,2020-12-01,Czech Republic,2A5 7449,1,132692,files/cars/data/all_car_images/8375_BMZM1555_20012020_111151image208478.jpg,damaged,24560.0,,,None,,False,no_damage,0,MY WINDSHIELD CRACKED FOR NO APPARENT REASON. THE CRACK BEGAN ON THE DRIVERS SIDE ABOUT MIDWAY UP FROM THE VERY LEFT EDGE. I NOTICED IT WHEN I PARKED MY CAR AT MY MOTHERS HOUSE HAVING DRIVEN ONE HOUR TO GET TO HER HOUSE. IT WAS ABOUT A 3-4 INCH CRACK GOING HORIZONTALLY FROM THE EDGE. IN ONE WEEK IT IS NOW OVER A FOOT LONG. I DO NOT RECALL MY WINDSHIELD HAVING BEEN HIT BY A ROCK OR ANYTHING AND I HAVE BEEN THE ONLY DRIVER OF MY VEHICLE.,VISIBILITY/WIPER,151190
2018,31636,Gasoline,Automatic,CHLDSBK0JBTYLN606,2023-04-28,UAE,24694,1,859,files/cars/data/all_car_images/5679_PDCD3499_13012020_110632image137337.jpg,damaged,21864.0,,,None,,False,no_damage,0,"Engine using oil at only 45,000 miles. It's been less than 500 miles since last oil change and today had to put 1/2 quart of oil. Had all recalls done. Told the dealership it was using oil, they said it was a faulty gasket and oil drain plug was lose. Changed everything including oil,gasket and tightened the oil drain plug. But today less than 500 miles later had to add half quart of oil. I am the original owner and I know Kia says a quart per 1000 miles is acceptable. I have owned older cars with over 100,000 miles never used oil in between changes, I have owned new cars never had to top off between oil changes. I am afraid my engine should be recalled now, I don't trust my soul anymore. There's absolutely no reason for this car with 50,000 miles should be using oil. If it breaks down I am hearing that Kia probably won't repair or put new motor in as I have read and heard everyone saying. Even doing a compression test they won't pay for it unless it's rod bearing, no rental car during any time. I have lots of doctors appointments that are over 2 hours away and I am scared of being broken down ( disabled 61 years old female). I am scared that this car is going to cause me harm . I don't know if the dealership even looked into the rings when they did the recall. Also I have nobody to borrow car from so if Kia was to do the warranty I would need a loaner car, rental car for the duration of the work.",ENGINE,35289
2010,55369,Hybrid,Manual,NUU12MD941W6JRBK8,2015-02-14,France,148EF90,1,279505,files/cars/data/all_car_images/11372_MUKA1741_z1702691219333_2c3427da518c3edc4dae1103ef06740f.jpg,damaged,27557.0,,,None,,False,no_damage,0,"Potential Safety Issue regarding the Cruise Control for ALL 2023 Toyota Corollas and possibly all Toyota's with the Safety Sense 3.0 System. On these vehicles the cruise control is turned on automatically when the vehicle is started. There is a white indicator icon illuminated on the drivers display to inform the driver. However the owners manual says you have to turn the system on by pressing the Driving Assist Mode Switch inferring the cruise control should not automatically be turned on. Pressing this switch only allows you to switch modes from Dynamic Radar Cruise Control to Standard Cruise Control. My dealer advised that this is normal for my vehicle and the cruise control system is working as designed. I agree all functions of the system work, except there is no way to turn off the cruise control. Nothing about turning off the cruise control is stated in the owners manual either. Every Toyota from 2022 and older, and some 2023's, have an on off switch. The issue is once the cruise control is set (now a green illuminated icon), the set speed is always on the display until the vehicle is turned off. Even if you ""Cancel"" the set speed, the speed is always there (white icon) so you can ""Resume"" (green icon). If you no longer have use for the cruise control there is no way to just turn it off. Example: You have just exited the interstate highway onto a city street that is 25 MPH. The cancelled set speed is still displaying 70 MPH and while driving you accidentally hit the resume button on the steering wheel and the vehicle accelerates and hits the car in front of you. I know there are anti-collision features that might help, but a startled/panic driver can react in a very negative way and still cause an accident or injury. Even Toyota says not to depend on these safety features alone that it is the drivers responsibility to operate the vehicle safely.  I did notify Toyota Brand Engagement Center, who filed a case, but said I would not be informed unless a recall.",VEHICLE SPEED CONTROL,144488
2001,175941,Plug-in Hybrid,Manual,2MHX4JGN3XUELGRCL,2017-10-10,Bulgaria,CD 6483 CD,6,194291,files/cars/data/all_car_images/968_YLEA6374_11012020_085801image661448.jpg,damaged,28774.0,,,None,,False,no_damage,0,my suspension failed with the leaf springs breaking and the shackles and bushings failed then the frame is breaking( flexing). all fasteners were loose and some missing  the body came loose from the frame... this is a issue with many other grand design 5th wheels ... hopefully the parts that fell off on the freeway did not hurt anyone... ( leaf springs),SUSPENSION,140013
2009,119580,Hybrid,CVT,KNHMB49FM2ALARGYJ,2013-10-23,Mexico,B941B,4,96523,files/cars/data/all_car_images/10338_JWDB7932_31012020_095327image420496.jpg,damaged,26523.0,,,None,,False,no_damage,0,I was driving down the street from my home and I slowed down turned right and my car was out of control I steered to the curb. I got out and saw that the tire had blown-up and a large piece of the tire which was cut in half was on the ground. I couldn’t drive the car I called a tow truck driver who was there within 30 min he towed my car to BMW. It hasn’t  been fully inspected I am waiting for USAA to inspect with Spectrum collision. Several people from the collision company have said it may be a tire failure.,SUSPENSION,140027
2019,17487,Hybrid,Automatic,GYECTJY7PNZYU28P4,2022-09-26,Switzerland,AB 21278,0,19411,files/cars/data/all_car_images/7701_XCZV2571_17012020_153840image437298.jpg,damaged,23886.0,,,None,,False,no_damage,0,DRIVING THE VEHICLE ON THE ROAD AND IT LOSES POWER AND WONT LET YOU DRIVE OVER 30 MPH. THE VEHICLE ALSO WOULD NOT START. HAD TO LET THE CAR SIT FOR 15 SECONDS THEN TRY TO START IT AGAIN FOR IT TO START. THEN IT WOULD CUT OFF WHILE STOPPED AT A TRAFFIC LIGHT. DEALERSHIP FIXED THE PISTONS AND ADDED A NEW BATTERY STILL HAD A PROBLEM AND NOW THEY REPLACED ACCEL PEDAL SENSOR. AND NOW DRIVES A LITTLE FUNNY.,VEHICLE SPEED CONTROL,144740
2009,88196,Hybrid,CVT,LKMYDH4S85RRT4ML0,2016-11-02,New Zealand,DEF197,2,8434,files/cars/data/all_car_images/11523_PEAY2438_z2128003713308_b0b7d49f3c01c8fc24e5834c57fae729.jpg,damaged,27708.0,,,None,,False,no_damage,0,THE CRUISE CONTROL SYSTEM FAILS - IT IS TURNS OFF AUTOMATICALLY. THE ERROR MESSAGE ON THE DASHBOARD DISPLAY SAY'S THE FRONT RADAR SYSTEM STOPPED WORKING. THIS HAPPENS ARBITRARILY AND WITHOUT PRIOR WARNING REGARDLESS OF DAY OR NIGHT OR WEATHER CONDITIONS. THE SYSTEM WILL BE OPERABLE AGAIN IN 10 OR 15 MINUTES. MY CAR IS STILL UNDER WARRANTY.    I REPORTED THE PROBLEM TO NISSAN. THEY SAID IT IS A KNOWN PROBLEM AND THEY ARE RESEARCHING THE CAUSE. HOWEVER NISSAN DIDN'T ALERT ME TO THE PROBLEM. I HAVE NO EVIDENCE NISSAN IS REALLY WORKING ON A SOLUTION.    THIS IS A SAFETY ISSUE BECAUSE WHEN THE RADAR SYSTEM STOPS THE CRUISE CONTROL SYSTEM SHUTS DOWN AND THE CAR BEGINS TO DECELLERATE. UNDER CERTAIN CONDITIONS THIS MAY STARTLE OR CONFUSE THE DRIVER AND LEAD TO PANIC OR ABRUPT MANUVERS.,VEHICLE SPEED CONTROL,144691
2016,193352,Gasoline,Manual,U95NT7D3B2237S8V0,2016-10-19,Pakistan,DEF-7601,3,162445,files/cars/data/all_car_images/10892_FVRB3427_7424_16_55_42_D52C8072.jpg,damaged,27077.0,,,None,,False,no_damage,0,"The contact owns a 2018 Jeep Wrangler. The contact stated while operating the vehicle, the backup camera was inoperable on several occasions. There were no warning lights illuminated. The backup camera would randomly work as designed. The local dealer was not contacted.  The vehicle was not diagnosed or repaired. The manufacturer was notified of the failure however, no further assistance was provided. The failure mileage was approximately 7,800.",BACK OVER PREVENTION,6606
2014,158401,Hybrid,Automatic,AUD3P3ZMYH1W4A3GA,2017-08-26,Australia,GHI661,3,222112,files/cars/data/all_car_images/10507_JJTX6791_31012020_110350image777145.jpg,damaged,26692.0,,,None,,False,no_damage,0,"I bought the standard autopilot  for 2 model 3sI find it highly useful. It keeps me in the middle of my lane. Warns me with loud signal and bright red car marking of cars in my blind spot if it is dangerous to change lanes. Allows me to see clearly all cars around me. It will not allow me to drive without my hands putting active pressure on the steering wheel. I feel that it makes driving much much safer. Driver still needs to pay attention with active pressure on steering wheel.I drive 30,000 miles per year. I paid $3000 extra to buy the autopilot after not having it for the first 6 months. It was well worth the cost.Should be a standard feature on all new cars!!!   My wife who drives my other model 3 has had the same experience.",LANE DEPARTURE,78274
2021,194914,Electric,Automatic,HJ8GK9BAAJG7J6ENR,2023-03-16,Romania,CD-26-DEF,2,104480,files/cars/data/all_car_images/6743_HSGE4410_15012020_114300image759468.jpg,damaged,22928.0,,,None,,False,no_damage,0,"The contact owns a 2022 Hyundai Elantra. The contact received notification of NHTSA Campaign Number: 22V354000 (Seat Belts) however, the part to do the recall repair was not yet available. The dealer was made aware of the issue and confirmed that parts were not yet available. The manufacturer had been notified of the issue. The contact stated that the manufacturer had exceeded a reasonable amount of time for the recall repair. The contact had not experienced a failure. Parts distribution disconnect.",SEAT BELTS,106537
