car_id,problem_category
15115,ELECTRICAL SYSTEM
4779,EQUIPMENT
4816,AIR BAGS
170973,FUEL SYSTEM
132692,VISIBILITY/WIPER
92984,STEERING
859,ENGINE
155135,ENGINE
173795,SERVICE BRAKES
8883,VISIBILITY/WIPER
225975,POWER TRAIN
120033,FORWARD COLLISION AVOIDANCE
226954,ENGINE
68814,ENGINE
97364,SERVICE BRAKES
172251,ENGINE AND ENGINE COOLING
157346,ENGINE
99681,ELECTRICAL SYSTEM
145891,ENGINE
224517,ENGINE
197972,ELECTRICAL SYSTEM
279505,VEHICLE SPEED CONTROL
50915,EXTERIOR LIGHTING
287937,POWER TRAIN
65443,STRUCTURE
298314,ENGINE
91053,POWER TRAIN
1972,ELECTRICAL SYSTEM
52998,POWER TRAIN
145608,ENGINE AND ENGINE COOLING
277468,ENGINE
130302,EXTERIOR LIGHTING
91098,ENGINE
206769,POWER TRAIN
154212,ENGINE
125535,ELECTRICAL SYSTEM
97828,ENGINE AND ENGINE COOLING
24196,ENGINE
153309,POWER TRAIN
271852,FORWARD COLLISION AVOIDANCE
107325,STRUCTURE
194291,SUSPENSION
225653,STEERING
5750,ENGINE
247420,WHEELS
220797,ENGINE
278194,VISIBILITY/WIPER
97638,AIR BAGS
60909,FUEL/PROPULSION SYSTEM
51710,POWER TRAIN
25169,POWER TRAIN
190684,EXTERIOR LIGHTING
96523,TIRES
257413,ENGINE
130354,STRUCTURE
69147,STEERING
223635,POWER TRAIN
63960,STRUCTURE
19411,ENGINE
103245,SERVICE BRAKES
218876,POWER TRAIN
123270,POWER TRAIN
63995,FUEL SYSTEM
91322,EXTERIOR LIGHTING
167002,STEERING
135776,EQUIPMENT
71216,EQUIPMENT
169716,SERVICE BRAKES
160983,STRUCTURE
97387,WHEELS
146398,STEERING
17264,AIR BAGS
16513,ENGINE
132858,LATCHES/LOCKS/LINKAGES
284104,EQUIPMENT
146441,SERVICE BRAKES
166310,ELECTRICAL SYSTEM
149930,FORWARD COLLISION AVOIDANCE
30862,ENGINE
183986,VISIBILITY
218072,ENGINE
34141,STRUCTURE
270173,STEERING
168023,EXTERIOR LIGHTING
192761,STRUCTURE
1497,STEERING
146432,ENGINE
156089,POWER TRAIN
87179,LATCHES/LOCKS/LINKAGES
118024,SERVICE BRAKES
167892,ENGINE
216837,EXTERIOR LIGHTING
64725,POWER TRAIN
188672,ENGINE
234357,POWER TRAIN
120070,STEERING
277324,SUSPENSION
252036,ENGINE AND ENGINE COOLING
85767,ENGINE
49236,AIR BAGS
126182,STRUCTURE
103949,AIR BAGS
8434,VEHICLE SPEED CONTROL
118282,SERVICE BRAKES
55184,STRUCTURE
77626,POWER TRAIN
162445,EQUIPMENT
84749,ELECTRICAL SYSTEM
156921,ENGINE
103987,ENGINE AND ENGINE COOLING
48251,STRUCTURE
33519,AIR BAGS
149500,SUSPENSION
56631,EXTERIOR LIGHTING
92796,EXTERIOR LIGHTING
273573,ENGINE
222112,LANE DEPARTURE
253276,POWER TRAIN
156442,STRUCTURE
126037,SUSPENSION
163622,SERVICE BRAKES
279327,STRUCTURE
223092,POWER TRAIN
276200,ENGINE
156875,ENGINE
45693,VISIBILITY/WIPER
58711,SERVICE BRAKES
104480,SEAT BELTS
279788,TIRES
209175,EQUIPMENT
299425,ENGINE
145829,VISIBILITY/WIPER
25921,POWER TRAIN
152256,ELECTRICAL SYSTEM
82477,ENGINE
26583,ELECTRICAL SYSTEM
265237,FUEL SYSTEM
280189,EXTERIOR LIGHTING
79664,FUEL SYSTEM
203186,STRUCTURE
160250,ELECTRICAL SYSTEM
108477,POWER TRAIN
66295,VEHICLE SPEED CONTROL
230006,ENGINE
109135,ENGINE
162320,EXTERIOR LIGHTING
293240,ELECTRICAL SYSTEM
182653,POWER TRAIN
280432,ENGINE
124437,VISIBILITY/WIPER
153671,ENGINE
76061,AIR BAGS
156133,VEHICLE SPEED CONTROL
135547,POWER TRAIN
241896,POWER TRAIN
250688,ENGINE
287447,ENGINE
266111,AIR BAGS
221041,STRUCTURE
216123,LATCHES/LOCKS/LINKAGES
145406,ELECTRICAL SYSTEM
231251,STRUCTURE
32454,SERVICE BRAKES
254488,POWER TRAIN
110076,VISIBILITY
163793,SERVICE BRAKES
172622,SEAT BELTS
245230,ENGINE
294238,ENGINE
177135,ENGINE
174787,STRUCTURE
170069,SERVICE BRAKES
104081,ENGINE
46135,VEHICLE SPEED CONTROL
169894,ELECTRICAL SYSTEM
142880,STEERING
76833,STRUCTURE
90029,SERVICE BRAKES
2669,AIR BAGS
33195,ENGINE
76723,ENGINE
65290,VEHICLE SPEED CONTROL
257926,EXTERIOR LIGHTING
7108,ENGINE AND ENGINE COOLING
91262,ENGINE
230388,ENGINE
277486,STEERING
16062,ELECTRICAL SYSTEM
280477,STEERING
33180,POWER TRAIN
166827,STEERING
252733,ENGINE
245226,FORWARD COLLISION AVOIDANCE
157999,ELECTRICAL SYSTEM
213092,WHEELS
22043,FORWARD COLLISION AVOIDANCE
73229,POWER TRAIN
214995,POWER TRAIN
145366,POWER TRAIN
153369,ENGINE
