car_id,problem_category
169061,STEERING
37974,LATCHES/LOCKS/LINKAGES
200726,ELECTRICAL SYSTEM
221532,POWER TRAIN
93448,POWER TRAIN
288738,LANE DEPARTURE
81298,ENGINE
136086,ENGINE AND ENGINE COOLING
34532,STEERING
194338,AIR BAGS
26274,STRUCTURE
127330,POWER TRAIN
262189,STRUCTURE
200414,LANE DEPARTURE
210101,ENGINE AND ENGINE COOLING
51302,SERVICE BRAKES
144205,STEERING
196043,STRUCTURE
60257,AIR BAGS
57072,TIRES
135561,SERVICE BRAKES
139575,POWER TRAIN
109664,STRUCTURE
49318,SEAT BELTS
207815,SUSPENSION
160649,POWER TRAIN
56356,SERVICE BRAKES
59206,ENGINE
153779,STRUCTURE
71653,STRUCTURE
174680,POWER TRAIN
85386,AIR BAGS
178896,ENGINE
198143,STEERING
96045,ENGINE AND ENGINE COOLING
123050,EXTERIOR LIGHTING
208671,ENGINE
85578,ELECTRICAL SYSTEM
225911,ENGINE
88335,POWER TRAIN
145093,FUEL/PROPULSION SYSTEM
142688,FORWARD COLLISION AVOIDANCE
1387,SERVICE BRAKES
241975,STEERING
33678,ELECTRICAL SYSTEM
141124,ENGINE
267695,EQUIPMENT
78288,ENGINE
163013,ENGINE
100976,ENGINE
249835,ENGINE
30685,SERVICE BRAKES
179627,ELECTRICAL SYSTEM
100578,ENGINE
269047,VEHICLE SPEED CONTROL
224301,POWER TRAIN
264564,AIR BAGS
74054,SERVICE BRAKES
11802,ELECTRICAL SYSTEM
178175,FUEL/PROPULSION SYSTEM
6313,STEERING
215136,EQUIPMENT
154379,ELECTRICAL SYSTEM
173803,TIRES
92235,ENGINE AND ENGINE COOLING
24052,ENGINE AND ENGINE COOLING
188316,ENGINE
81935,ENGINE
218574,ENGINE
10170,ENGINE
34694,ENGINE
259769,ELECTRICAL SYSTEM
129322,POWER TRAIN
287993,SERVICE BRAKES
237410,SERVICE BRAKES
176130,VISIBILITY
289296,ENGINE
130420,FORWARD COLLISION AVOIDANCE
86199,STEERING
74487,ENGINE
131904,ENGINE AND ENGINE COOLING
133467,POWER TRAIN
14300,STEERING
42796,ENGINE
279281,ENGINE AND ENGINE COOLING
18523,SEATS
242633,ENGINE
134876,LATCHES/LOCKS/LINKAGES
66639,POWER TRAIN
160693,ELECTRICAL SYSTEM
205921,VISIBILITY
130140,POWER TRAIN
72555,AIR BAGS
51885,ENGINE
132292,SERVICE BRAKES
104009,FUEL/PROPULSION SYSTEM
161901,ENGINE
100334,POWER TRAIN
219499,ELECTRICAL SYSTEM
88515,ENGINE
203683,FUEL SYSTEM
169716,VEHICLE SPEED CONTROL
256439,POWER TRAIN
150861,POWER TRAIN
125592,ELECTRICAL SYSTEM
44542,ENGINE
56095,ENGINE
127085,ENGINE
178100,TIRES
220437,POWER TRAIN
94823,ELECTRICAL SYSTEM
21360,ENGINE
283561,ENGINE
278228,ELECTRICAL SYSTEM
280047,FORWARD COLLISION AVOIDANCE
297876,ENGINE
12886,FORWARD COLLISION AVOIDANCE
54664,STEERING
149397,ELECTRICAL SYSTEM
151836,EQUIPMENT
7217,STEERING
125475,SERVICE BRAKES
85097,SEATS
209193,SERVICE BRAKES
285548,LATCHES/LOCKS/LINKAGES
8050,ENGINE
120865,BACK OVER PREVENTION
152861,POWER TRAIN
174413,POWER TRAIN
249029,TIRES
155374,ENGINE
83820,STEERING
143292,ELECTRICAL SYSTEM
32876,ENGINE
295487,ENGINE
29600,FORWARD COLLISION AVOIDANCE
280782,AIR BAGS
83849,AIR BAGS
248948,ENGINE
191855,ENGINE
243590,ENGINE
15514,TIRES
176383,STEERING
154512,ELECTRICAL SYSTEM
284603,ELECTRICAL SYSTEM
244064,BACK OVER PREVENTION
43549,ENGINE
13634,ELECTRICAL SYSTEM
264776,ELECTRICAL SYSTEM
146427,ENGINE
230522,ELECTRICAL SYSTEM
241464,SERVICE BRAKES
94458,POWER TRAIN
189097,TIRES
145529,ELECTRICAL SYSTEM
139457,POWER TRAIN
145115,POWER TRAIN
35079,ENGINE
109399,ENGINE
172950,EQUIPMENT
234826,POWER TRAIN
104953,SEATS
9501,BACK OVER PREVENTION
180683,STRUCTURE
123227,SERVICE BRAKES
44908,ELECTRICAL SYSTEM
133714,UNKNOWN
203625,ELECTRICAL SYSTEM
188274,POWER TRAIN
278572,SERVICE BRAKES
238533,ENGINE
177330,SERVICE BRAKES
238683,POWER TRAIN
151414,ENGINE
97346,ENGINE
109393,ENGINE
9412,ELECTRICAL SYSTEM
129869,TIRES
55016,EXTERIOR LIGHTING
84859,ELECTRICAL SYSTEM
166427,BACK OVER PREVENTION
230667,ENGINE
62986,ENGINE AND ENGINE COOLING
199631,ELECTRICAL SYSTEM
271091,FUEL/PROPULSION SYSTEM
175959,ENGINE
198801,STEERING
161432,ENGINE
108513,POWER TRAIN
118588,ENGINE
151318,VISIBILITY
101,EXTERIOR LIGHTING
60054,VISIBILITY/WIPER
299958,AIR BAGS
250145,ELECTRICAL SYSTEM
183621,POWER TRAIN
44607,VISIBILITY/WIPER
271143,ENGINE
250809,VISIBILITY
52333,VEHICLE SPEED CONTROL
198442,ENGINE
95279,STRUCTURE
79755,ENGINE
219381,POWER TRAIN
131789,WHEELS
185457,SERVICE BRAKES
23110,BACK OVER PREVENTION
212579,SERVICE BRAKES
31392,FORWARD COLLISION AVOIDANCE
235968,LATCHES/LOCKS/LINKAGES
280614,AIR BAGS
37088,ENGINE
52583,VISIBILITY
196695,VISIBILITY/WIPER
186044,ENGINE
246886,FUEL/PROPULSION SYSTEM
252731,ENGINE
212561,STEERING
67039,TIRES
289494,POWER TRAIN
100392,ENGINE AND ENGINE COOLING
146197,TIRES
141014,STEERING
240684,ELECTRICAL SYSTEM
256017,VEHICLE SPEED CONTROL
211160,TIRES
187879,STEERING
180935,ENGINE
204662,ENGINE
140984,SEATS
116734,SUSPENSION
67106,VISIBILITY
287089,SERVICE BRAKES
120419,FUEL SYSTEM
277908,SERVICE BRAKES
40658,POWER TRAIN
135769,POWER TRAIN
20238,ENGINE
292819,ENGINE
170181,STEERING
33444,POWER TRAIN
72491,ENGINE AND ENGINE COOLING
75206,SERVICE BRAKES
229352,POWER TRAIN
211729,POWER TRAIN
274245,STEERING
29856,STEERING
190489,ELECTRICAL SYSTEM
62591,STEERING
135088,EQUIPMENT
85718,SERVICE BRAKES
155098,ENGINE
260846,SERVICE BRAKES
62967,LANE DEPARTURE
213155,POWER TRAIN
119577,POWER TRAIN
211850,ELECTRICAL SYSTEM
80946,ENGINE
13139,LANE DEPARTURE
103034,STEERING
261643,SERVICE BRAKES
94099,EXTERIOR LIGHTING
272324,FUEL/PROPULSION SYSTEM
129223,POWER TRAIN
250000,ENGINE
109565,POWER TRAIN
124312,SEAT BELTS
128355,ENGINE
285810,WHEELS
141085,ELECTRICAL SYSTEM
71310,ENGINE
103961,FORWARD COLLISION AVOIDANCE
133362,ENGINE
212499,FUEL/PROPULSION SYSTEM
162322,EXTERIOR LIGHTING
245933,AIR BAGS
226593,ENGINE AND ENGINE COOLING
122411,POWER TRAIN
274208,STEERING
77108,ENGINE
139881,STEERING
