car_id,year,complaint_id,image_id,audio_id
8,2024,144521.0,19916.0,
33,2025,155540.0,23126.0,
64,2020,133618.0,24190.0,
72,2024,8910.0,11933.0,
73,2009,35449.0,17824.0,
101,2021,63386.0,25815.0,
110,2000,151416.0,19811.0,
137,2003,79083.0,24357.0,
144,2024,78029.0,19910.0,
147,2002,8161.0,22495.0,
158,2005,155722.0,16582.0,
260,2015,8167.0,19869.0,
265,2011,144744.0,26230.0,
268,2009,35262.0,21207.0,
289,2010,139948.0,21272.0,
364,2011,120114.0,22818.0,
397,2001,106111.0,28827.0,
425,2023,6695.0,23787.0,
432,2025,7800.0,29238.0,
463,2006,143037.0,24706.0,
475,2015,78375.0,28729.0,
486,2025,78447.0,24918.0,
493,2019,78107.0,16785.0,
525,2011,143221.0,19957.0,
548,2019,35418.0,24323.0,
588,2019,78916.0,26693.0,
596,2020,106200.0,23624.0,
602,2010,57512.0,29281.0,
627,2004,139865.0,18544.0,
704,2003,229.0,24313.0,
717,2021,63546.0,19962.0,
730,2001,323.0,23400.0,
740,2005,108607.0,16309.0,
762,2007,144339.0,16218.0,678.0
777,2004,66581.0,17623.0,
859,2018,35289.0,21864.0,
881,2000,73657.0,18861.0,
900,2022,140189.0,23398.0,
917,2016,63266.0,18179.0,
1007,2022,63000.0,,704.0
1015,2019,711.0,29187.0,
1018,2006,143344.0,22356.0,
1048,2014,144373.0,,793.0
1072,2009,120247.0,21658.0,
1097,2025,106265.0,22932.0,
1103,2004,149747.0,24150.0,
1132,2021,66401.0,17918.0,
1145,2025,77855.0,21197.0,
1147,2013,79791.0,27515.0,
1150,2021,108099.0,2072.0,
1206,2018,120324.0,18591.0,
1210,2025,7627.0,99.0,1147.0
1220,2017,108008.0,19935.0,
1272,2011,63028.0,369.0,262.0
1284,2013,7699.0,237.0,93.0
1292,2002,140144.0,27075.0,
1306,2011,144778.0,27271.0,
1318,2001,144511.0,24674.0,
1333,2014,70665.0,19264.0,
1347,2010,70775.0,25488.0,
1380,2009,143369.0,23183.0,
1403,2013,107775.0,23123.0,
1417,2007,73579.0,18553.0,
1419,2016,66499.0,29956.0,
1429,2012,156056.0,26218.0,
1442,2010,140211.0,22042.0,
1450,2022,143006.0,18907.0,
1460,2020,155982.0,27555.0,
1491,2024,107945.0,24164.0,
1552,2010,6800.0,28993.0,
1577,2023,8026.0,27430.0,
1578,2017,144714.0,28711.0,
1583,2018,70862.0,24452.0,
1587,2006,120116.0,20063.0,
1590,2016,106.0,29369.0,
1618,2016,70769.0,22057.0,
1638,2007,155955.0,29070.0,
1642,2022,62959.0,27034.0,
1671,2018,8295.0,18487.0,
1711,2025,62996.0,,593.0
1725,2022,62669.0,17800.0,
1731,2008,119964.0,29931.0,
1736,2021,78237.0,28426.0,
1746,2011,151749.0,27068.0,
1765,2020,6623.0,29214.0,
1810,2013,79390.0,,742.0
1820,2009,107914.0,28779.0,
1827,2000,57266.0,26387.0,
1842,2018,133511.0,24595.0,
1857,2008,143153.0,27699.0,
1871,2018,6838.0,22208.0,
1989,2015,79147.0,20811.0,
2007,2014,78289.0,29302.0,
2009,2013,74051.0,24157.0,
2034,2001,79401.0,,481.0
2088,2013,8042.0,29577.0,
2097,2025,108334.0,6783.0,
2158,2025,424.0,17221.0,
2165,2011,151356.0,27911.0,
2185,2008,73737.0,19523.0,
2209,2022,62736.0,27322.0,
2226,2016,119943.0,26113.0,
2228,2009,140894.0,11802.0,
2247,2010,62687.0,26026.0,
2288,2023,106175.0,16602.0,
2296,2007,63335.0,20333.0,
2306,2017,119974.0,25165.0,
2319,2002,155626.0,21487.0,
2327,2001,106497.0,20800.0,
2350,2008,107641.0,18996.0,
2354,2011,7863.0,20358.0,
2359,2014,78763.0,24087.0,
2363,2000,78105.0,21960.0,
2419,2008,149580.0,24936.0,
2469,2001,155810.0,19411.0,
2483,2014,149251.0,16225.0,253.0
2486,2018,107483.0,16395.0,
2572,2010,152243.0,11804.0,
2614,2009,106009.0,20359.0,
2619,2005,109073.0,27294.0,
2623,2017,63615.0,23247.0,
2650,2016,8689.0,7505.0,
2671,2013,149836.0,20753.0,
2707,2023,149808.0,28177.0,
2736,2013,706.0,28985.0,
2765,2025,151128.0,18138.0,
