car_id,year,complaint_id,image_id,audio_id,is_sick_audio,is_sick_text,is_sick_image
132692,2018,151190,24560,,,0,1
209175,2021,62480,47,0,1,0,0
110076,2002,6746,25321,,,0,1
222112,2014,78274,26692,,,0,1
104480,2021,106537,22928,,,0,1
96523,2009,140027,26523,,,0,1
279505,2010,144488,27557,,,0,1
216123,2016,79192,23432,,,0,1
8434,2009,144691,27708,,,0,1
245230,2016,144767,24523,,,0,1
145829,2006,151703,20995,,,0,1
194291,2001,140013,28774,,,0,1
162445,2016,6606,27077,,,0,1
76061,2019,478,27027,,,0,1
859,2018,35289,21864,,,0,1
66295,2009,66809,24476,,,0,1
