id,category
28209,Ray-Ban
29007,Cabarelli
21508,Kiara
48558,Levitate
38222,Polaroid
27280,Mother Earth
37919,Mineral
10689,Doodle
34430,Myntra
44560,Coolers
28220,YARDLEY
15779,Facit
45676,Tabac
43794,Royal Diadem
43795,Royal Diadem
52504,Red Rose
55395,Revlon
50177,Rocia
57802,Lotus Herbals
55533,Revlon
5821,Puma
23480,Arrow
47295,Baggit
33481,Baggit
5303,Reebok
1623,Reebok
40015,ADIDAS
46410,ADIDAS
4771,ADIDAS
4817,ADIDAS
46104,ADIDAS
20312,Lee
41825,Skechers
33631,Lino Perros
14560,Vans
31562,Mark Taylor
53842,Vishudh
34073,Clarks
27517,Jockey
43469,Sweet Dreams
19661,United Colors of Benetton
41588,Basics
44810,Spykar
4437,Converse
17918,Nike
28692,W
9022,Buckaroo
57362,Amante
25886,American Tourister
53667,Kiara
36082,OTLS
39375,Helix
57087,Elle
23147,Quechua
21863,Chhota Bheem
28932,Mr. Men
31550,Classic Polo
52050,Myntra
10757,Disney
15783,Facit
57457,Pitaraa
47612,Portia
9376,Puma
7802,Puma
6310,Puma
5301,Reebok
10110,Reebok
13112,ADIDAS
2607,ADIDAS
3442,adidas
8402,ADIDAS
6241,Lee
6269,Lee
42907,French Connection
25297,Lino Perros
18041,Lino Perros
13557,Carlton London
59019,Carlton London
13645,Carlton London
5945,Locomotive
9252,Mark Taylor
34069,Clarks
27407,Jockey
53390,Aurelia
11241,Flying Machine
49939,Hanes
36519,United Colors of Benetton
19732,United Colors of Benetton
19531,United Colors of Benetton
8783,Indigo Nation
16326,Peter England
39521,Peter England
28570,Nike
33758,Vero Moda
54805,Ivory Tag
28419,Idee
19096,Mother Earth
34106,Doodle
1891,FIFA
15356,Red Tape
6403,Lotto
34639,Lotto
35056,Windsor
48619,Lucera
49166,Deborah
32824,iPanema
54130,Rocia
18560,Catwalk
3252,Puma
37302,Casio
26813,Arrow
23250,Arrow
38423,Baggit
28901,Enamor
9082,ADIDAS
2240,ADIDAS
3479,ADIDAS
3462,ADIDAS
50957,Lee
8441,Jealous 21
49509,Vans
25948,Femella
16518,Locomotive
59356,Vishudh
27952,Jockey
28011,Jockey
48552,Wrangler
26297,Proline
14901,United Colors of Benetton
6071,UCB
3786,Basics
36919,Fossil
36923,Fossil
24663,Converse
46908,Peter England
6372,Numero Uno
55950,Colorbar
25447,Nike
35100,Allen Solly
21131,s.Oliver
22346,John Players
22822,Woodland
18437,VITALGear
5257,Quechua
50187,Paridhan
24869,Reid & Taylor
52128,Doodle
57064,Elle
25828,Diva
34035,Gini and Jony
20788,Genesis
25691,Mumbai Slang
34571,Tonga
1563,Quechua
9825,Little Miss
9012,Quechua
11920,Franco Leone
5317,Red Tape
26858,Davidoff
44187,Nike Fragrances
48900,Lucera
14478,Enroute
33534,Cobblerz
55651,Catwalk
59656,FNF
7730,Puma
6100,Puma
17452,CASIO
14735,Arrow
5300,Reebok
1624,Reebok
43342,Reebok
52751,Reebok
2045,ADIDAS
54696,Shree
23165,Mark Taylor
57945,Clarks
3869,Wrangler
34601,Hanes
49931,Hanes
19197,United Colors of Benetton
19663,United Colors of Benetton
36888,Fossil
23905,Fila
13075,Numero Uno
14019,Nike
38595,Nike
44225,Nike
21323,Louis Philippe
40012,Park Avenue
40525,Titan
32571,ONLY
36563,Jack & Jones
14953,Status Quo
54547,Global Desi
13087,Timberland
54827,Ivory Tag
53911,Kiara
36385,Reid & Taylor
36356,Reid & Taylor
45906,Maxima
44989,Maxima
53577,Q&Q
41976,Gini and Jony
15964,Turtle
42535,Mother Earth
53414,Alma
16834,Little Miss
14925,Mr. Men
33343,The brand name is not present in the provided product description.
15057,Franco Leone
23527,Hugo Boss
32138,Playboy
58922,Hakashi
57553,Lotus Herbals
45372,Cobblerz
9358,Puma
1920,Puma
58255,Baggit
20482,Baggit
53737,ADIDAS
46411,ADIDAS
6506,ADIDAS
25252,Lino Perros
14576,Vans
47632,Carlton London
53840,Vishudh
14538,Vishudh
24292,Quiksilver
28047,Jockey
28298,Fastrack
11233,Flying Machine
56248,SDL by Sweet Dreams
36532,United Colors of Benetton
12505,United Colors of Benetton
24984,United Colors of Benetton
3640,Fila
22598,Nike
44697,Wills Lifestyle
9697,Hush Puppies
6852,
37407,Murcia
26220,Hidekraft
28380,i dee
29941,Police
33916,Citizen
54585,Sushilas
13747,Belmonte
34011,Gini and Jony
40159,Gini and Jony
34342,Myntra
4724,Disney
53126,Myntra
39297,Red Chief
45075,Bwitch
46919,York
48897,Lucera
56560,Streetwear
47593,Portia
57675,Lotus Herbals
4616,Wildcraft
4038,Puma
58743,Puma
33295,Arrow Sport
58263,Baggit
13690,Reebok
40035,ADIDAS
4800,ADIDAS
4805,ADIDAS
8103,ADIDAS
3371,Asics
25094,Lino Perros
15267,ADIDAS
59872,Femella
16522,Locomotive
5953,Locomotive
15841,Visudh
19429,Quiksilver
10448,Flying Machine
19159,United Colors of Benetton
19561,United Colors of Benetton
18925,Levi's
29202,Fila
27583,Scullers
40270,Scullers
26053,John Miller
9503,John Miller
38759,Nike
28538,Nike
4543,Nike
21355,Van Heusen
30060,SKAGEN DENMARK
58942,Tommy Hilfiger
50708,Latin Quarters
59746,Avirate
14972,New Hide
53565,Q&Q
38993,Gini and Jony
39129,Aneri
38943,Gini and Jony
41963,Gini and Jony
21873,Green Gold
8419,Doodle
7328,Red Tape
44741,Globalite
13131,Provogue
23582,Nike Fragrances
50544,Chromozome
50621,Chromozome
41694,Superman
58060,Rreverie
59783,Estelle
32845,Grendha
56988,HM
19909,Wildcraft
7935,Puma
44871,Puma
31283,Puma
12902,Puma
30747,Fabindia
14755,Arrow
58235,Baggit
10092,Reebok
5273,Reebok
19412,ADIDAS
3470,ADIDAS
2048,ADIDAS
48509,French Connection
27940,Jealous 21
54731,Vans
54698,Shree
54170,Femella
14542,Vishudh
22082,Vishudh
14082,Flying Machine
11327,United Colors of Benetton
19672,United Colors of Benetton
48177,Fossil
51366,Spykar
38572,Nike
43047,Nike
12799,Nike
22643,Nike
56380,DKNY
28977,Biba
26426,Spice Art
27046,Yelloe
39039,Belmonte
18217,Manchester United
29531,Playboy
50405,Miss Sixty
51396,Myntra
53412,Alma
42200,Sepia
42240,Sepia
2762,Classic Polo
3351,Myntra
5670,Tantra
39856,Gini and Jony
15091,Mother Earth
22501,Catwalk
22140,Provogue
33351,Homme
47208,Franco Leone
53554,Probase
56293,Biara
56211,Estelle
49163,Deborah
33124,Catwalk
54142,Rocia
59146,Tiptopp
45404,Rocia
53048,FNF
18622,Puma
16971,Puma
26659,Puma
53106,Fabindia
5299,Reebok
46337,Reebok
10102,Reebok
45718,Reebok
5571,ADIDAS
48503,French Connection
18413,Skechers
3312,Asics
25209,Lino Perros
25746,Lino Perros
15243,ADIDAS
14568,Vans
47076,Shree
53264,Locomotive
8164,Highlander
57944,Clarks
43188,Fastrack
50019,Hanes
19651,United Colors of Benetton
25381,Levis
18345,Fila
56143,Colorbar
38594,Nike
53679,Kiara
36378,Reid & Taylor
18219,Manchester United
26380,Turtle
30292,Myntra
40142,Gini and Jony
4728,Disney
9938,Probase
33356,Homme
40449,Red Tape
47525,Facit
46154,Adrika
39610,Catwalk
56875,HM
42732,Rocia
10607,Puma
16198,Puma
13705,Puma
53759,Puma
53804,Puma
26649,Puma
20466,Baggit
47293,Baggit
10037,Reebok
43242,Reebok
5709,Reebok
50988,Enamor
2606,ADIDAS
4811,ADIDAS
32937,ADIDAS
2058,Lee
26894,Jealous 21
36984,Lino Perros
25047,Lino Perros
16785,ADIDAS
19004,ADIDAS
47676,Femella
54188,Jockey
19505,Wrangler
11303,Wrangler
50324,Aurelia
20008,United Colors of Benetton
2161,Basics
46316,Fossil
9596,Scullers
26125,John Miller
8750,Indigo Nation
7039,Numero Uno
22615,Nike
4859,Nike
19302,Nike
25469,Nike
28635,Nike
5576,Nike
51162,Raymond
51101,Satya Paul
1790,Quechua
17777,Reid & Taylor
