id,category
10075,Topwear
10189,Topwear
10443,Topwear
10503,Topwear
10569,Topwear
10579,Topwear
10644,Topwear
10689,Topwear
10818,Topwear
11008,Topwear
11296,Bottomwear
11379,Topwear
11387,Topwear
11393,Topwear
11449,Topwear
11619,Topwear
11684,Topwear
11708,Topwear
11727,Topwear
11738,Topwear
11785,Topwear
12105,Topwear
12137,Topwear
12183,Topwear
12200,Topwear
12287,Bottomwear
12337,Topwear
12339,Topwear
12577,Topwear
12629,Topwear
12850,Topwear
13092,Topwear
13112,Bottomwear
13240,Topwear
13253,Topwear
13527,Topwear
13713,Topwear
13741,Topwear
13762,Topwear
13768,Topwear
13771,Topwear
13848,Topwear
14014,Topwear
14016,Topwear
14085,Topwear
14547,Topwear
14642,Topwear
14695,Bottomwear
14764,Topwear
14960,Topwear
15206,Topwear
15761,Innerwear
15767,Innerwear
15789,Innerwear
15836,Topwear
16000,Topwear
16043,Topwear
16057,Bottomwear
1614,Topwear
16229,Topwear
16391,Bottomwear
16411,Topwear
16413,Topwear
16511,Bottomwear
16520,Bottomwear
17476,Innerwear
17509,Topwear
17545,Topwear
17629,Topwear
17869,Innerwear
17936,Topwear
18491,Topwear
1856,Topwear
18577,Topwear
18628,Topwear
18749,Topwear
18849,Topwear
18936,Topwear
18980,Topwear
19013,Topwear
19079,Topwear
19091,Topwear
1938,Topwear
19606,Topwear
19721,Topwear
19731,Topwear
19744,Topwear
19788,Topwear
19834,Topwear
19956,Topwear
19999,Topwear
20031,Topwear
20093,Topwear
20168,Topwear
20235,Topwear
20257,Topwear
2048,Topwear
21023,Topwear
21128,Topwear
2116,Bottomwear
2139,Topwear
21446,Topwear
21451,Topwear
21645,Innerwear
21843,Topwear
21873,Topwear
21927,Topwear
22017,Topwear
22060,Topwear
22070,Topwear
22204,Topwear
22209,Topwear
22369,Bottomwear
22379,Topwear
22383,Topwear
2243,Topwear
22461,Bottomwear
2254,Topwear
22640,Topwear
22642,Topwear
22745,Topwear
23054,Topwear
2320,Topwear
23235,Topwear
23304,Topwear
23627,Topwear
23967,Topwear
23977,Topwear
24061,Topwear
24345,Topwear
24367,Topwear
24388,Topwear
24448,Innerwear
24910,Topwear
24912,Topwear
24944,Topwear
24984,Topwear
25034,Bottomwear
25379,Innerwear
25765,Topwear
25778,Bottomwear
2606,Topwear
2607,Topwear
26136,Bottomwear
26495,Topwear
26726,Topwear
