category,id
blue,11295
black,25120
black,21247
Black,25163
blue,22399
green,10253
Blue,41471
brown,56681
Black,1634
white,10803
white,58212
black,3406
silver,1624
Black,50160
silver,41041
White,36454
blue,21902
black,14534
Black,47233
black,2505
red,21910
brown,20860
white,19297
purple,58232
black,3687
black,4811
black,37717
Grey,51683
black,45937
silver,11651
black,17331
white,29202
white,17209
blue,6529
white,36705
Blue,4800
Green,12130
white,18345
Black,6100
Black,41696
black,29057
black,10128
blue,17184
blue,13654
black,41847
black,53604
blue,27379
Orange,25256
purple,37238
Red,34882
Red,40955
pink,12229
black,27280
Green,9139
Black,12481
black,58581
blue,51588
brown,55971
Maroon,39784
white,12023
black,8399
white,5849
Black,4032
Black,59276
black,27808
black,48573
Black,1540
black,11944
blue,45955
white,35697
Red,2716
black,19571
purple,5314
blue,9239
white,28155
blue,33941
White,21402
blue,17573
black,2874
white,50605
Blue,54599
Blue,15779
multi,3968
Blue,9182
Black,51259
blue,20153
white,34842
silver,46503
Black,48431
black,19302
white,10389
Teal,6298
multicolor,45325
Teal,24159
white,5099
Black,33737
Green,10223
blue,40931
Blue,7708
Blue,31237
yellow,46945
Red,47573
Blue,1563
red,31960
white,16548
blue,12043
red,3395
black,32578
Green,51559
Blue,28020
Blue,51079
black,10608
black,21499
white,11566
blue,31337
Black,13204
green,20433
blue,44917
Black,20823
Red,15394
white,13418
black,41031
white,32265
black,2048
black,49433
blue,2831
black,50623
black,44648
Black,17825
Red,28599
Black,57305
white,8722
blue,26859
black,2817
black,36442
blue,14760
black,49662
white,2044
black,50660
yellow,18470
black,8664
black,30925
Black,3760
Black,2985
Black,30255
Blue,26548
black,49826
black,45409
black,15920
Black,5812
Black,53580
white,12241
black,16611
white,4508
purple,17590
Blue,14985
green,29282
light blue,8315
black,22555
Black,45038
white,30467
black,37229
blue,37527
grey,19113
black,44101
white,9229
silver,41043
white,23505
black,3530
Black,51900
blue,49754
white,3258
blue,4378
Blue,50338
Black,3527
green,44382
black,44585
Red,34096
black,44288
red,13398
Green,15017
Blue,33526
white,32467
blue,49491
black,18008
white,32304
Red,1623
white,19496
red,5357
blue,36363
blue,32656
Blue,58188
white,23194
white,9358
blue,53126
Blue,6504
white,26124
Red,4908
black,11416
white,13428
black,57351
Black,22225
blue,49710
red,19081
Blue,17264
Red,37940
Black,43796
white,10689
black,10579
black,10334
black,42876
blue,43980
blue,1558
Black,29112
Teal,46610
white,17561
blue,33954
white,59360
black,38562
red,42951
blue,38136
black,19806
Black,51261
white,29207
black,36719
brown,40501
Black,52798
blue,53565
black,5301
White,10685
white,34167
dark green,9534
Blue,25496
black,50436
blue,36727
orange,12452
silver,46527
Black,59023
red,37784
Black,53802
Blue,38286
silver,25323
black,14132
Teal,48348
black,22927
purple,7150
black,7835
