genre,movies_in_genre
Action,Item 47
Action comedy,The Interview
Adventure,"High Road, Item 47"
Christmas,The Night Before
Comedy,"High Road, Mean Girls, The Night Before"
Crime,Item 47
Drama,Love Is the Drug
Political satire,The Interview
Sci-Fi,Item 47
Stoner Film,The Night Before
Thriller,Love Is the Drug
Western,The Last Rites of Ransom Pride
action,"Extinction, Now You See Me 2"
adventure,Now You See Me 2
biographical,127 Hours
biography,The Disaster Artist
comedy,"Queens of Country, 3, 2, 1... Frankie Go Boom, Bachelorette, Hot Tub Time Machine, Orange County, The Disaster Artist"
crime,Crossing Over
drama,"Allied, Crashing, 127 Hours, Bachelorette, Crossing Over, Save the Date, The Disaster Artist"
found footage,Cloverfield
heist film,Now You See Me 2
horror,"Cloverfield, Cobweb"
monster,Cloverfield
mystery,Now You See Me 2
non-fiction,The Disaster Artist
romantic,Allied
romantic comedy,"The People We Hate at the Wedding, My Best Friend's Girl, Save the Date"
sci-fi,Cloverfield
science fiction,"Extinction, Hot Tub Time Machine"
thriller,"Allied, Now You See Me 2"
war,Allied
