genre,movies_in_genre
action,"The Interview, Item 47, Extinction"
adventure,Item 47
biographical,127 Hours
christmas,The Night Before
comedy,"Queens of Country, The Interview, 3, 2, 1... Frankie Go Boom, Hot Tub Time Machine, Bachelorette, High Road, The Night Before, Orange County"
crime,Crossing Over
drama,"Crossing Over, Allied, 127 Hours, Crashing, Love Is the Drug"
farce,Hot Tub Time Machine
found footage,Cloverfield
heist film,Now You See Me 2
horror,"Cobweb, Cloverfield"
monster,Cloverfield
non-fiction,The Disaster Artist
political satire,The Interview
romantic,Allied
romantic comedy,"The People We Hate at the Wedding, My Best Friend's Girl"
romantic comedy-drama,Save the Date
romantic drama,The Disaster Artist
sci-fi,Item 47
science fiction,"Hot Tub Time Machine, Extinction"
stoner,The Night Before
thriller,Allied
war,Allied
western,The Last Rites of Ransom Pride
