movieId,movieScore
1193230-state_of_play,3.86
12_years_a_slave,4.23
2012,2.43
28_days_later,3.8
a_beautiful_day_in_the_neighborhood,4.43
a_quiet_place_2018,4.53
a_quiet_place_part_ii,4.8
a_star_is_born_2018,4.2
ad_astra,3.91
aladdin,2.78
alien_covenant,3.0
american_splendor,3.2
ant_man_and_the_wasp,3.79
ant_man_and_the_wasp_quantumania,2.59
aquaman_2018,3.41
argo_2012,3.4
arrival_2016,4.39
atomic_blonde_2017,3.57
avatar_the_way_of_water,3.69
avengers_age_of_ultron,3.17
avengers_endgame,4.31
avengers_infinity_war,3.86
baby_driver,4.46
babylon_2022,3.0
batman_v_superman_dawn_of_justice,2.12
beauty_and_the_beast_2017,2.67
birdman_2014,4.8
birds_of_prey_2020,3.74
black_panther_2018,4.5
black_panther_wakanda_forever,3.6
black_widow_2021,3.53
blackkklansman,4.27
blue_is_the_warmest_color,4.22
bohemian_rhapsody,2.96
booksmart,4.28
call_me_by_your_name,4.43
captain_america_civil_war,3.98
captain_marvel,3.48
catch_me_if_you_can,4.0
coco_2017,4.8
crazy_rich_asians,3.8
cruella,3.68
dark_phoenix,2.19
deadpool,3.8
deadpool_2,3.91
doctor_strange_2016,3.84
doctor_strange_in_the_multiverse_of_madness,3.17
dumbo_2019,2.0
dune_2021,3.76
dunkirk_2017,4.31
elvis,3.5
eternals,2.53
everything_everywhere_all_at_once,4.44
fantastic_beasts_and_where_to_find_them,3.5
first_man,3.89
ford_v_ferrari,4.4
fright_night_2011,2.8
get_out,4.48
glass_2019,2.27
glass_onion_a_knives_out_mystery,4.02
godzilla_king_of_the_monsters_2019,2.6
godzilla_vs_kong,3.68
gone_girl,4.25
gravity_2013,4.4
green_book,3.0
guardians_of_the_galaxy_vol_2,3.58
hail_caesar_2016,4.0
halloween_2018,3.35
hereditary,3.8
house_of_gucci,2.29
hustlers_2019,4.0
i_tonya,3.94
if_beale_street_could_talk,5.0
inception,4.0
incredibles_2,4.24
inside_out_2015,4.43
interstellar_2014,3.91
isle_of_dogs_2018,3.89
it_2017,3.5
it_chapter_two,3.23
jackie_2016,3.6
john_wick_chapter_3_parabellum,3.4
jojo_rabbit,3.71
joker_2019,3.25
judas_and_the_black_messiah,4.6
judy_2019,4.0
jurassic_world,2.0
jurassic_world_dominion,2.3
jurassic_world_fallen_kingdom,2.45
justice_league_2017,2.11
knives_out,4.51
kong_skull_island,3.29
kung_fu_panda_3,3.4
la_la_land,4.34
little_women_2019,4.46
logan_2017,4.37
mad_max_fury_road,4.47
manchester_by_the_sea,4.8
mank,3.8
marriage_story_2019,4.27
marvels_the_avengers,3.14
mary_poppins_returns,3.38
midsommar,4.0
mission_impossible_fallout,4.55
moonlight_2016,4.56
mother_2017,2.92
no_time_to_die_2021,3.61
nomadland,4.18
nope,3.87
oceans_8,3.0
once_upon_a_time_in_hollywood,3.81
parasite_2019,4.63
phantom_thread,4.4
prairie_home_companion,3.62
promising_young_woman,3.9
ready_player_one,3.45
rocketman_2019,4.38
rogue_one_a_star_wars_story,3.69
roma_2018,4.64
shazam,3.96
skyfall,4.17
snow_white_and_the_huntsman,2.6
solo_a_star_wars_story,3.1
soul,4.8
spectre_2015,2.71
spencer_2021,3.6
spider_man_far_from_home,3.81
spider_man_homecoming,4.31
spider_man_into_the_spider_verse,4.81
spider_man_no_way_home,4.06
spotlight_2015,4.55
star_wars_episode_vii_the_force_awakens,4.13
star_wars_the_last_jedi,4.06
star_wars_the_rise_of_skywalker,2.75
stillwater_2020,3.42
suicide_squad_2016,2.31
sully,4.0
taken_3,1.56
tenet,2.89
terminator_dark_fate,2.0
the_banshees_of_inisherin,4.4
the_batman,3.86
the_disaster_artist,2.0
the_fabelmans,3.9
the_farewell_2019,5.0
the_favourite_2018,4.15
the_front_runner_2018,2.71
the_invisible_man_2020,4.23
the_irishman,4.32
the_lighthouse_2019,4.07
the_lion_king_2019,2.79
the_matrix_resurrections,2.8
the_northman,3.67
the_post,3.94
the_power_of_the_dog,4.0
the_revenant_2015,3.43
the_suicide_squad,4.18
thor_love_and_thunder,2.88
thor_ragnarok_2017,4.07
three_billboards_outside_ebbing_missouri,4.27
top_gun_maverick,4.42
toy_story_4,4.33
triple_9,2.3
venom_2018,1.6
vice_2018,3.25
war_for_the_planet_of_the_apes,4.83
west_side_story_2021,4.44
widows_2018,4.33
wonder_woman_1984,2.94
wonder_woman_2017,4.26
x_men_apocalypse,2.8
yesterday_2019,3.0
